Length,Width,Gap,Char_Imp,beta_l,root_er
10,11.0,5.0,15.895261503425168,0.034706234182029116,4.814485462698604
10,11.0,5.5,16.082550126065133,0.04488617286037988,4.786288286953206
10,11.0,6.0,15.962235929326786,-0.06598020396561734,4.698583032174343
10,11.0,6.5,16.123312999109878,0.14177316819841276,4.918658667977602
10,11.0,7.0,15.888801986124648,0.0552511593901389,4.908580025835611
10,11.0,7.5,15.827315054005686,0.11529396277670503,4.77765177982296
10,11.0,8.0,15.93820133294486,0.07782320928986569,4.944113066232834
10,11.0,8.5,15.690560380025099,0.049431250267902065,4.84286045301155
10,11.0,9.0,15.734190431621535,0.10071534390988285,5.0202707542956775
10,11.0,9.5,16.03256348595905,-0.11538318809378705,4.819128105741042
10,11.0,10.0,16.292596443634395,0.183101324103412,4.787823690840497
10,11.0,10.5,16.395077017951223,0.1908066899163821,4.943589399818878
10,11.0,11.0,16.039018431237185,0.25978553594724685,4.933251365633651
10,11.0,11.5,16.420175316554726,-0.06479889130488059,5.008552147965185
10,11.5,2.0,14.701889503867891,-0.012601578197182196,5.086493199865767
10,11.5,2.5,15.023610083563762,-0.039564995801097694,5.134811365408647
10,11.5,3.0,15.242537461147057,0.06305739009509244,5.28699195721503
10,11.5,3.5,15.466751011940877,-0.10804155816921862,5.19274879161781
10,11.5,4.0,15.79787503384979,0.012573392474115104,5.328575218999307
