Length,Width,Inductance,Peak Q,Peak Q Freq,SRF
105,7.5,66.5993700247596,101.73641064247181,86.1912867763585,
105,8.0,65.83221591057784,104.86534032063972,83.63715654275998,
105,8.5,64.73359962830189,105.28822391346264,81.09198227484991,
105,9.0,63.96068207942166,104.7195068332852,78.47055020296145,
105,9.5,68.20220209030053,100.43790172466305,76.2960095352667,
105,10.0,66.50597953581297,104.38311183875769,72.26768007286454,
105,10.5,67.5380966688123,103.80822769489177,74.9912061646701,
105,11.0,66.40219258711,107.9231704379784,72.44865245685271,
105,11.5,63.620851484069085,106.78119595543605,73.01779727535376,
105,12.0,60.21315427360555,104.99831028629413,75.89504244482148,
110,2.0,91.2448141448906,76.82176879467279,111.89798354243818,
110,2.5,91.87072913812676,87.7756584617643,99.35152598720592,
110,3.0,83.31704054236789,79.34604245616913,104.8085157863977,
110,3.5,86.6138857106114,83.6739243249619,96.68990406365357,
110,4.0,80.58958275189829,82.64598274322007,101.9106532082592,
110,4.5,84.66243650475589,88.31906719409075,92.02989304834578,
110,5.0,77.60956632693787,84.30999398685316,90.17226054003122,
110,5.5,81.38823305775374,94.51097334775226,85.32013097014871,
110,6.0,74.44927308151324,89.04370796701411,88.24921491503096,
110,6.5,77.49139603518748,94.74676488594704,80.14509184044682,
110,7.0,71.7227872857301,96.79762874812998,78.16363812639499,
110,7.5,75.34882861253512,92.32567616221984,80.59556437008476,
110,8.0,74.60511965335829,97.50703960427894,82.12856036875806,
110,8.5,74.5611261696518,102.1303818149701,75.64583117360641,
110,9.0,72.98929531687712,100.68975969890683,72.25751133643851,
110,9.5,73.39902294959376,95.17713829641343,76.87411158873087,
110,10.0,67.5326799244354,102.49324254174805,75.00782408724673,
110,10.5,71.45667259645747,97.9253053759816,74.37125634829947,
110,11.0,68.60580672095375,100.30020093774988,72.54278941791446,
110,11.5,68.73262743196638,102.5690409039829,68.02519657240745,
110,12.0,66.01127230902475,106.3550302144055,70.57454279818091,
115,2.0,95.35711678399912,74.37605611634204,99.20804046752863,
115,2.5,97.26036385152102,80.22310876968695,91.15739847046144,
115,3.0,93.65562650006417,70.67937708362253,99.10322986434393,
115,3.5,88.38483260519507,78.3047553536165,91.65227607673604,
115,4.0,85.31545064622986,75.61478244987678,95.81936482531643,
115,4.5,88.48504675068894,84.00003347226918,89.66643518054252,
